Date,Closing,Open,High,Low,LR Predicted Closing,LR Accuracy,DTR Predicted Closing,DTR Accuracy,AdaBoost Predicted,AdaBoost Accuracy
15-Nov-17,126.8,126.85,127.53,126.28,125.9462095,0.006733364,126.8,1,125.24768,0.012242271
14-Nov-17,127.05,127.55,129,124.25,127.4544152,0.022038567,127.05,1,125.6201667,0.011254099
13-Nov-17,127.6,127.5,128.15,126.65,126.5537292,0.008199614,127.6,1,125.24768,0.01843511
10-Nov-17,127.55,126.05,128.35,125.5,126.8834753,0.005225595,127.55,1,125.24768,0.018050333
9-Nov-17,126.4,125.55,127.4,125,125.9126227,0.003855833,126.4,1,125.24768,0.009116456
8-Nov-17,125.75,125.05,125.9,124.2,124.3563655,0.01108258,125.75,1,122.5312085,0.025596752
7-Nov-17,124.7,125.5,125.8,123.1,124.2136578,0.003900098,124.7,1,122.5312085,0.017392073
6-Nov-17,125.55,123.95,126.4,122.25,124.9772128,0.004562224,125.55,1,122.5312085,0.024044536
3-Nov-17,123.95,127.15,127.4,126.25,125.7836608,0.014793552,123.95,1,125.24768,-0.010469383
2-Nov-17,126.4,123.35,127.6,122.55,126.3028197,0.000768831,126.4,1,125.24768,0.009116456
1-Nov-17,122.95,124.7,126.2,121.2,124.7038875,0.014265047,122.95,1,122.5312085,0.003406194
30-Oct-17,125.9,127,127.75,125.05,126.1682811,0.002130906,125.9,1,125.24768,0.005181255
27-Oct-17,126.6,124,127.5,123.7,126.1439917,0.003601961,126.6,1,124.4958159,0.016620727
26-Oct-17,124.55,124.4,124.9,123,123.3443845,0.009679771,124.55,1,121.4003922,0.025287899
25-Oct-17,124.72,123.45,125.25,123.15,123.7934858,0.007428754,124.72,1,122.5312085,0.017549644
24-Oct-17,123.2,124.25,124.75,122.85,123.1968189,2.58E-05,123.2,1,121.4003922,0.014607207
23-Oct-17,124.35,125.1,126.5,123.85,124.9909586,0.005154472,124.35,1,124.0238947,0.002622479
20-Oct-17,125.25,126.95,127.95,124,126.3851855,0.009063357,125.25,1,125.24768,1.85E-05
19-Oct-17,126.85,124.75,128.05,124.5,126.6689453,0.001427313,126.85,1,125.24768,0.012631612
18-Oct-17,124.3,124.15,124.7,123,123.1516604,0.009238452,122.9333333,1,121.4003922,0.023327497
17-Oct-17,124.15,123.75,125.05,123,123.556431,0.004781063,124.15,1,122.5312085,0.013038998
16-Oct-17,123.75,126.1,126.45,123.7,124.8571388,0.008946576,123.75,1,122.8919578,0.006933674
13-Oct-17,126.45,126.4,127.15,125.45,125.5780187,0.006895858,126.45,1,124.4958159,0.015454204
12-Oct-17,126.35,127.2,127.8,125.4,126.2053794,0.001144603,126.35,1,125.24768,0.008724337
11-Oct-17,126.8,129.8,129.85,126.55,128.1777786,0.010865762,126.8,1,126.1772857,0.004910996
10-Oct-17,131,131,132.7,130.05,131.1145169,-0.000874174,131,1,132.6122611,-0.012307337
9-Oct-17,130.95,131,131.9,129.8,130.2630194,0.005246129,130.95,1,131.6306286,-0.005197622
6-Oct-17,130,127.9,130.7,127.4,129.2356369,0.005879716,130,1,130.1845833,-0.001419872
5-Oct-17,127.2,125.75,127.65,124.3,126.1625954,0.008155697,127.2,1,125.24768,0.015348428
4-Oct-17,125.15,126.2,126.4,124.4,124.7958601,0.002829724,125.15,1,122.8919578,0.018042686
3-Oct-17,125.45,127.4,127.8,125.4,126.1892592,-0.005892859,125.45,1,125.24768,0.001612754
2-Oct-17,127.2,127.8,128,125.3,126.3698931,0.006525998,127.2,1,125.24768,0.015348428
29-Sep-17,128.05,128.95,129.15,127.25,127.5012293,0.004285597,128.05,1,125.6201667,0.018975661
28-Sep-17,128.5,129.45,129.7,127.5,128.0463332,0.003530481,128.5,1,126.1772857,0.018075598
27-Sep-17,129.35,131.95,132.15,129,130.4525412,-0.008523705,129.35,1,131.6306286,-0.017631454
26-Sep-17,132.25,131.55,133.65,130.85,132.0813394,0.001275316,132.25,1,132.6122611,-0.002739215
25-Sep-17,131.55,133.65,133.7,131.35,131.9652955,-0.00315694,131.55,1,132.6122611,-0.008074961
22-Sep-17,134.45,135.8,136.2,134.05,134.4529325,-2.18E-05,134.45,1,135.3089404,-0.006388549
21-Sep-17,135,136.2,136.2,133.65,134.420692,0.00429117,135,1,135.3089404,-0.002288447
20-Sep-17,136.55,135.35,137.45,132.9,135.8196679,0.00534846,136.55,1,135.7287958,0.006013945
19-Sep-17,134.9,139.77,140.38,134.57,138.58202,-0.02729444,134.9,1,136.9287755,-0.015039107
18-Sep-17,138.95,141.35,141.35,139.45,139.4871108,-0.003865497,138.95,1,138.4244231,0.00378249
15-Sep-17,140,139.25,140.15,139.25,138.3791271,0.011577663,140,1,136.7348571,0.023322449
14-Sep-17,135.85,137,137.25,137,135.4738015,0.00276922,135.85,1,136.0472285,-0.001451811
13-Sep-17,136.6,134.6,136.4,133.55,134.7625283,0.013451476,136.6,1,135.3089404,0.009451388
12-Sep-17,133.8,132.75,132.75,132.75,131.0266833,0.020727329,131.975,1,132.6122611,0.008876972
11-Sep-17,130.6,129.65,129.65,128.75,127.9769944,0.02008427,130.6,1,126.1772857,0.033864581
8-Sep-17,130.57,129.04,130.97,129.04,129.4311319,0.00872228,130.57,1,131.48992,-0.007045416
7-Sep-17,127.9,126.35,128.4,125.95,126.9125136,0.00772077,127.9,1,125.24768,0.020737451
6-Sep-17,126.6,127.5,127.5,127.5,125.8618875,0.005830272,127.375,1,125.24768,0.010681833
5-Sep-17,128.1,128.62,131.07,127.22,129.5714216,-0.011486508,128.1,1,131.48992,-0.026463076
1-Sep-17,127.75,128.9,128.9,128.3,127.2391664,0.003998697,127.75,1,125.6201667,0.016671885
31-Aug-17,128.15,127.5,127.5,127.5,125.8618875,0.017854955,127.375,1,125.24768,0.022647835
