Date,Closing,Open,High,Low
1-Jan-10,135.93,135.93,135.93,135.93
4-Jan-10,141.85,136,142.45,136
5-Jan-10,141,141.85,142.7,140.4
6-Jan-10,141.6,141.6,142.65,140.05
7-Jan-10,141.9,141.55,142.4,139.85
8-Jan-10,145.35,142.45,146,141.95
11-Jan-10,143.7,145.85,146.95,142.55
12-Jan-10,143.1,144,144.85,142.5
13-Jan-10,145.15,142.95,146.05,142.75
14-Jan-10,144.35,145.15,145.7,143.55
15-Jan-10,140.75,143.85,144.55,140.4
18-Jan-10,141.13,141.13,141.13,141.13
19-Jan-10,140.9,141,142.25,140.15
20-Jan-10,139.2,140.5,140.5,138.45
21-Jan-10,138.7,139.45,140.15,137.55
22-Jan-10,139.6,138.75,141.25,137.3
25-Jan-10,139.4,139.8,140.4,138.55
26-Jan-10,138.25,139.05,139.2,137
27-Jan-10,133.55,138,139,133.35
28-Jan-10,132.95,133.95,134.9,132.05
29-Jan-10,131.7,132.6,133.9,131.6
31-Jan-10,131.95,131.95,131.95,131.95
1-Feb-10,132.55,132,133.2,131.2
2-Feb-10,135.05,132.85,135.65,132.2
3-Feb-10,133,135.45,135.95,132.4
4-Feb-10,131.55,132.75,133.15,130.05
5-Feb-10,128.8,131.45,131.85,128.5
8-Feb-10,130.65,129.35,131.6,128.5
9-Feb-10,130.4,130.45,132.2,129.45
10-Feb-10,132.2,130.1,132.65,129.4
11-Feb-10,132.2,132.75,134.1,131.65
12-Feb-10,132.75,131.8,133.3,130
16-Feb-10,133.45,133.15,134.8,132
17-Feb-10,132.25,133.5,134,131.55
18-Feb-10,134.1,132.5,135,131.9
19-Feb-10,134.75,133.95,135.2,132.55
22-Feb-10,129.85,134.75,135.1,129.4
23-Feb-10,130.35,130.55,130.75,129.75
24-Feb-10,130.45,130.35,130.85,129.7
25-Feb-10,127.7,129.55,129.7,126.6
26-Feb-10,129.05,129.6,129.8,128.6
1-Mar-10,129.55,129.65,130.9,129.05
2-Mar-10,130.2,129.35,130.1,129
3-Mar-10,129.7,129.85,130.45,129.15
4-Mar-10,127.85,130,130,126.55
5-Mar-10,128,128.45,128.8,128
8-Mar-10,128.7,127.55,128.35,127.55
9-Mar-10,130.25,131.25,131.3,131.1
10-Mar-10,130.5,130.45,130.45,130.45
11-Mar-10,131.45,131,131.5,130.9
12-Mar-10,130.15,132.75,132.75,130.05
15-Mar-10,131.48,132.35,132.88,129.73
16-Mar-10,130.35,129,129,129
17-Mar-10,131.2,130.5,130.85,130.5
18-Mar-10,133.15,130.75,133.45,130.55
19-Mar-10,130.3,132.45,133,132.45
22-Mar-10,133,132.1,133.65,130.85
23-Mar-10,134.75,133,135,132.4
24-Mar-10,134.3,134.45,135.2,133.3
25-Mar-10,137,134.3,137.45,134.15
